premise	hypothesis	premise_atomic	hypothesis_atomic	label
IN ZLOČINCEV NITI POD RAZNO NE ŽELIM FAVORIZIRATI KOT DA KAJ VELJAJO,SO NIČ POD NIČLOI	Nočem reči, da so zločinci pozitivni - ravno obratno, so največji ničvredneži, nič od niča!	NIČ da MORDA NE ŽELIJO BITI POSVOJENI. v posvojitev	zločinci ne reče ničesar pozitivno	entailment
Največji svetovni izvoznik matičnega mlečka je Kitajska (pridela ga več deset ton na leto), največji potrošnik na svetu pa Japonska.	Kitajska nima možnosti pridelovanja matičnega mlečka, zato ga v celoti uvaža, na Japonskem pa ga sploh ne uporabljajo.	izvoznik kupi galono mleka piti mleko	Kitajska poje kitajsko hrano nič	contradiction
Zanima me, kako dolgo jo bova še imela.«	Vseeno mi je, koliko časa bo še pri nama.	osebek je zelo všeč da bi ga imeli dlje časa.	osebek je zelo všeč da bi ga imeli dlje časa.	contradiction
Ko je strmela tja, je opazila znano postavo, ki je prišla iz sobe in izginila v temo.	Zagledala se je v prihajajočega neznanca, ki ga je v soju notranje luči videla nadvse natančno.	osebek je takoj stekla ven da bi videl, kdo je poklical njeno ime.	osebek pride predčasno domov vidi nepričakovanega gosta.	contradiction
Jaz ne vidim več nikogar, zato razpravo zaključujem in prehajamo na odločanje.	Razpravo s tem končujem, saj v svojem vidnem polju ne zaznavam več nikogar; zdaj gremo k odločanju o zadevi.	Jaz prekine očesni stik končati pogovor	osebek dobi vse osebek, bodo o dogodku verjetno razpravljale z drugimi in še naprej delile svoja stališča.	entailment
Predlog splošnega dela gozdnogospodarskega načrta območja določi svet Zavoda, predlog splošnega dela gozdnogospodarskega načrta gospodarske enote pa svet območne enote Zavoda.	Svet Zavoda in svet območne enote Zavoda imata pomembne odgovornosti, ki se tičejo gozdnogospodarskega načrta, med drugim prvi odgovarja za predlog splošnega dela le-tega, drugi pa za predlog splošnega dela gospodarske enote.	svet dobi drevo predmet razmišlja o drevesu	prvi prevzame odgovornost za predlog izvajati načrt.	entailment
Kadar je rok za predložitev tarif v odobritev v skladu s 3. odstavkom skrajšan, se pristojna organa lahko sporazumeta, da je rok za sporočitev nestrinjanja krajši od trideset (30) dni.	Ko je rok za predložitev tarif v odobritev skladno s tretjim odstavkom krajši kot po navadi, se lahko pristojna organa dogovorita za krajši rok za sporočitev nestrinjanja kot je sprva določen.	PersonX se konča 31. marca za izpolnitev roka	Datumi PersonX za 3 leta Prekinitev datuma	neutral
Akte o notranji organizaciji in sistemizaciji delovnih mest je potrebno uskladiti z določbami tega zakona in z aktom Vlade Republike Slovenije najkasneje v 30 dneh od uveljavitve akta iz prejšnjega člena.	V roku enega meseca od uveljavitve akta iz predhodnega člena je potrebno uskladiti akte o notranji organizaciji in sistemizaciji delovnih mest z določbami tega zakona, pa tudi z aktom Vlade RS.	osebek pride naslednji dan vrnite se domov	osebek zapusti mojo hišo pridite v mojo hišo	entailment
Knjigo vam bomo na podlagi izpolnjene prijavnice poslali po povzetju skupaj s stroški poštnine.	Izbrano knjižno delo boste prejeli na naslov v prijavi proti plačilu odkupnine z dodano ceno pošiljanja.	osebek pošlje stroški knjige da stroški pošljete številko za sledenje.	osebek kupi novo knjigo prejme potrdilo o prejemu.	entailment
Morska voda v Jadranskem morju vsebuje 3,5 % soli, do 3 % je natrijevega klorida.	V Jadranu najdemo 3,5 odstotka soli, 3 odstotki od tega so NaCl.	klorida plava v oceanu biti na plaži	NaCl plava v oceanu biti na plaži	entailment
Sodišče, ki ugotovi ničnost vpisa v sodni register, pošlje svojo odločbo po pravnomočnosti pristojnemu sodišču, da začne likvidacijski postopek.	Za sprožitev likvidacijskega postopka je potrebno, da sodišče spozna vpis v sodni register za ničen in ukrepa.	Sodišče izbriše ime predmet Sodišče ploska, ko sodišče razglasi predmet za nedolžno	sodišče's za začetek sodnega postopka.	entailment
»Kdo mi trije?« ji je vpadel v besedo.	Ker je ni dobro razumel, je njeno razlago prekinil z vprašanjem.	Kdo se sprašuje, kdo je.	osebek ne sprejme odgovora vprašanjem Postavil ji je vprašanje.	neutral
Reševanje problema meje je proces, v katerem bi bila sklenitev arbitražnega sporazuma bistven korak.	V celotnem postopku sklenitve arbitražnega sporazuma je določitev meje nepomembna naloga.	sklenitev sporazumno reši spor najti kompromis.	določitev igra vlogo sodelovati v celotnem procesu. pri določanju	contradiction
Mislim, da iz vsega tega ne bo prav nič.	Zdi se mi, da si ne moremo obetati večjih sprememb.	nič meni, da je nič eno.	osebek prevzame da bi mislili, da je veliko drugače. sprememb	entailment
“Škode nikdar ne bi popravili,“ sem rekel.	Pravil sem mu, da je poškodba nepopravljiva.	osebek da tega ne bi nikoli več storili.	poškodba je vedno rekla se ne poškoduje.	neutral
Telefonske informacije dajejo vsak delovnik med 8. in 12. uro.	Telefonska linija je odprta vsak dan v tednu med poldnevom in 8. uro zvečer.	informacije prosi predmet za nasvet pokličite informacije po telefonu.	linija ima dolg delovni dan delati ves dan do poznih ur.	contradiction
“Belo vino je v hladilniku, rdeče na balkonu.	“Vino običajno spravljamo v klet, v hladilniku in na balkonu ga ne boš našel.	vino spije pivo imeti pivo v hladilniku	osebek najde normalno v hladilniku	contradiction
Pomoč staršev pri razvoju bralnih spretnosti je torej vezana predvsem na prva leta šolanja.	Otrokova zgodnja faza v razvoju bralnih sposobnosti se razvija tudi pod vplivom interakcije s starši.	Pomoč je vzgojiteljica v vrtcu ustvariti dober prvi vtis o šoli pri otrocih.	PersonX uči otroke brati da bi otroci razumeli, kaj berejo.	neutral
Ma Ramotswe je priprla oči, da jo je razločila.	Ma Ramotswe je zožila pogled, da jo je bolje videla.	Ma sname očala da bi sprostil oči.	Ma obišče očesnega zdravnika da bi bolje videli.	entailment
Obraz si je pokrila z rokami, pritisnila blazinice na bobnečo glavo in se trudila nehati.	V tem času je bila sproščena, brez kakršnih koli znakov stresa na obrazu, smehljala se je.	osebek drgne obraz glavo udariti po rokah osebek, da se ustavi.	osebek se glasno smeji brez stresa	contradiction
Na uhljih so čopki dlake, rep pa je oprijemalen.	Ponaša se z golimi uhlji in šibkim repom, ki ne nudi podpore pri premikanju.	rep ima tigra za rep ga zadene tigrova šapka.	osebek pelje uhlji v knjižnico pomagati uhlji pri gibanju, ker ima zlomljeno nogo.	contradiction
Nadzorniki so se seznanili tudi s polletnim poslovanjem banke, ki je uspešno, so sporočili iz NKBM.	V Novi kreditni banki Maribor so nadzorniki ponosni tudi na uspešno poslovanje v zadnji polovici leta.	Nadzorniki razvija sistem NKBM vedo, da jim je šlo dobro.	nadzorniki ohranja poslovanje pri življenju hvaležen, da je bilo njihovo življenje rešeno.	entailment
(3) Za motorna in priklopna vozila s tujo registracijo, ki jih ima v zakupu domači prevoznik, se zaračunava cestna taksa v zneskih, ki veljajo za državo, v kateri je registrirano posamezno vozilo.	(3) Motorna vozila in priklopniki, ki jih začasno uporablja domači prevoznik, a nimajo domače registracije, morajo plačati cestno takso, pri čemer je višina te odvisna od države, kjer je vozilo opravilo registracijo.	vozilo mora kupiti nov avtomobil izgubi avtomobil, ki je bil v njihovi lasti.	vozilo vozi avto države mora plačati za gorivo, porabljeno med vožnjo.	entailment
Komisar za kmetijstvo Evropske unije Franz Fischler je dejal, da tudi sam ne vidi druge rešitve kot ničelne kvote vsaj prihodnje leto.	Franz Fischler, evropski komisar za agrikulturo, je na dan prišel z odilično rešitvijo za evropsko kmetijstvo.	PersonX gre naslednje leto spet nič	Franz razviti filozofijo.	contradiction
Prošnji mora biti priložen družinski list in davčna prijava vseh družinskih članov; - šest štipendij v znesku tisoč petsto euro za univerzitetne študente.	Poleg prošnje morate oddati tudi družinski list, potrebna je davčna prijava vseh članov družine; - štipendisti, študenti UNI programov, prejmejo šeskratni znesek v višini 1500 evrov.	štipendij dobi štipendijo za kolidž štipendij ni treba vzeti študentskega posojila.	štipendisti dobi štipendijo za kolidž štipendisti ni treba vzeti študentskega posojila.	entailment
Ta živila so kravje mleko, jajca, moka, ribe, goveje in piščančje meso.	Dotična živila so nadomestki za mleko, sladkor, jajca in testenine.	živila pripravi nekaj jajc uživati v obroku	živila skuha nekaj jajc pripraviti obrok ali prigrizek	contradiction
SESTRA JE ŽE HOTELA ODITI, KO JO JE WALLANDER PROSIL, ALI BI MU LAHKO PRINESLA KOZAREC VODE.	ŽE JE HOTELA ODITI, KO JI JE WALLANDER REKEL, ČE MU PRINESE ŠE EN KOZAREC VODE, ČEPRAV JIH JE SPIL ŽE KAR NEKAJ.	WALLANDER ve, kaj naj še reče PRHA JE MOKRA, VROČE VODE JE MANJ	WALLANDER spije nekaj vode preneha razmišljati o tem, da bi si priskrbel vodo.	neutral
Potem se je nagnil nazaj in prekrižal roke s čikom v kotičku ust.	Ko je slišal, da ga je varala, se je samo naglnil nazaj in prekrižal roke ter naprej kadil cigareto.	osebek potisne nazaj dvignite roke in položite dlani.	osebek potisne nazaj dvignite roke in položite dlani.	neutral
Po enournem odmoru za kosilo so se spet zbrali v konferenčni sobi.	Za kosilo so imeli 1 uro časa, potem pa so se morali vrniti v sobo za konference.	osebek se vrne v sobo počitek po dolgem dnevu	PersonX je oddaljen eno uro vožnje priti domov za kosilo	entailment
Na obrazu so ji zasijale sence, ki jih je metal ogenj.	Plameni so na njen obraz metali sence.	ogenj pije iz požarne pipe je močno razpršen v obraz.	Plameni planejo solze da si umijejo obraz.	entailment
Najbolje bi bilo, če bi te pripeljal kdo od tvojih.	Kot najboljša možna rešitev se kaže to, da bi ti prevoz zagotovil nekdo od domačih.	kdo lahko gre prosite nekoga, da gre z vami.	PersonX izbere gredo domov, ki je najboljši za vas	entailment
V sanjah je videla njegov lepi obraz in izraz ljubezni v njegovih očeh.	Zbudila se je in ugotovila, da so sanje resnične: bil je tam, ob njej.	osebek vidi željo v njenih očeh.	sanje si predstavlja, kaj je videla predmet začne sanjariti	neutral
»Kdo ti je omogočil vse, kar imaš?«	“Ali si za vse, kar imaš, zaslužna sama?“	PersonX ima oboje vse to	osebek prejme vsak stvar, ki si jo zasluži	neutral
Po filmu bo sledil pogovor z gosti s Slovenske filantropije in Ivo Grobin , soavtorico filma.	Žal morajo soavtorica filma Iva Grobin in gosti SF po filmu oditi, zato ne bo časa za vprašanja.	pogovor si ogleda film se pogovarjajte z ljudmi o filmu.	časa se noče pogovarjati z filmu da bi z njimi odšli na počitnice.	contradiction
»Tako menim tudi jaz,« je z rahlo rdečico na licih rekla princesa.	Princesa je rahlo zardela, ko je spregovorila, da bi izrazila svoje mnenje.	princesa je prav tako povedala smeh	Princesa se počuti, kot da bi se pogovarjala da izrazi svoje mnenje.	entailment
Na kmetiji ga je veselilo delo z živino, zato je svojo zemljo obdeloval tudi s kravami.	Za delo z zemljo je uporabljal le strojno mehanizacijo, saj ni maral delati z živalmi.	delo ima v lasti kmetijo skrbeti za kokoši in krave.	osebek ima rada živali nič	contradiction
Sem zdrav, vitalen, brez obveznosti, preskrbljen, splošno razgledan, nekadilec.	Živim zdravo, veliko se gibam, ne kadim, imam svojo službo, denar in dom ter vem vsega po malem.	osebek srečen, ponosen, odgovoren.	PersonX dobro živi porabite nekaj denarja	entailment
A pomembno je, da se s tem soočimo in nestrpnost premagamo.	Nestrpnost je očitna, vendar na srečo ni moteča.	osebek okrepi tem biti potrpežljiv in razumevajoč.	Nestrpnost je nervozna, vendar navdušena. da ne bi bili živčni.	contradiction
Ne bi rad, da bi se komu kaj pripetilo.	Na svoje varovance pazim s posebno pozornostjo.	kaj ne želi, da bi kdo vedel narediti nekaj slabega	osebek spusti bum zelo pozorno opazuje podrejene.	neutral
Vsakoletna dirka po 1860 stopnicah do vrha vzame zmagovalcu približno 20 minut.	Zmagovalec na teku po malo manj kot 2000 stopnicah, ki ga tradicionalno prirejajo vsako leto, povprečno porabi manj kot pol ure za celotno pot.	PersonX traja preskočite korake 20 minut	PersonX gre vsako leto prenehajte hoditi	entailment
Požar je trajal tri dni in povzročil za deset milijonov dolarjev škode.	Ogenj je gorel kar tri dni, izguba je bila velika, za njeno poravnavo bodo morali pridobiti deset milijonov dolarjev.	PersonX traja tri ure za dokončanje dela	PersonX je vreden več tisoč dolarjev porabiti denar za nekaj	entailment
Ko se je Tine vrnil, je v rokah držal plastično vrečko.	Ko se je vrnil, je bil Tine povsem praznih rok.	Tine se vrne v šolo najde svojo torbico.	Tine se vrne v mojo hišo je bil utrujen.	contradiction
Ali si jih pripeljal tja?' je vprašal.	Vprašanje ni bilo na mestu, kajti prišli so sami.	osebek vprašajo, ali so kdaj bili tam.	Vprašanje postavi vprašanje sami bolje, ker jim ni bilo treba postaviti vprašanja sami	neutral
(3) Sodišče lahko na podlagi utemeljenih razlogov na prošnjo ustanoviteljev rok za izvedbo ustanovne skupščine podaljša za mesec dni.	Če obstajajo tehtni razlogi, lahko sodnik rok za ustanovitev ustanovne skupščine prestavi za trideset dni, če iz stvariteljevih rok prejme prošnjo za to.	Sodišče pokliče najemodajalca najemodajalcu dati enomesečni odpovedni rok.	rok povabi rok na zmenek načrtovanje dejavnosti za ta datum, če bo sprejet.	entailment
Pri čelnih trkih se je izkazalo, da so pri trku otroci, ki sedijo obrnjeni v nasprotno smer vožnje, manj obremenjeni kot pa otroci, ki sedijo v smeri vožnje.	Če pogledamo statistiko prometnih nesreč v zadnjih letih, se izkaže, da so najhujše poškodbe utrpeli dojenčki, katerih stolček je bil obrnjen v smeri vožnje.	otroci se v šolo vozi s kolesom smeri drugi vidijo, da otroci parkira kolo na šolskem stojalu za kolesa.	stolček vidi otroka nasmeh nazaj	neutral
Drugi je bil precej mlajši ter gostih črnih las, visok in vitek.	Drugi ni bil tako star kot prvi, njegovi lasje so bili temni ter gosti, postava pa sloka in visoka.	Drugi ljubi predmet več biti mlad in lep.	postava imajo različno barvo las	entailment
Tako so ga mlatili, da so sosedje poklicali policijo.	Do njega so bili tako nasilni, da so sosedje poklicali policiste.	sosedje pokliče policijo na pomoč se pogovarjati z vsemi sosedi.	sosedje pokliče policijo na pomoč se pogovarjati z vsemi sosedi.	entailment
Sedemkratni svetovni prvak formule 1 Michael Schumacher je prepričan, da bo naslov svetovnega prvaka v letošnji sezoni pripadel Sebastianu Vettlu. več	Schumi je prepričan, da bo tudi letos pometel z vso konkurenco in se še osmič zavihtel na prvo mesto.	naslov postane svetovni zmagal na tekmi	PersonX doseže vsakega ponosni, da so se udeležili dirke in osvojili prvo mesto.	contradiction
Sredstva za pospeševanje razvoja in za ustanavljanje enot malega gospodarstva se zagotavljajo v proračunu Republike Slovenije.	V razpisu je določeno, da lahko sredstva za pospeševanje razvoja in za ustanovitev enot malega gospodarstva prejmemo iz državne blagajne RS.	Sredstva izobražuje otroke proračunu pomagati otrokom pri rasti in učenju.	PersonX upa, da bo pomagal pridobiti denar od banke za pomoč blagajne.	neutral
“Lady Mayfieldova, ne vem, kako naj vam to povem, ampak ...“	“Lady Mayfield, povedati vam moram neprijetno novico ...“	Lady ve, kaj naj reče je prisiljen govoriti	osebek postane zelo žalostna slišati slabo novico	neutral
(2) O porabi sredstev iz prejšnjega odstavka odloča ustavno sodišče.	O tem, kam bodo usmerili finančna sredstva tekom obračunskega leta, ukazuje ustavno sodišče.	sodišče plača porabiti preostali denar vnaprej	Kadrovska zakonodaja ureja pripraviti račune. med državami.	neutral
(b) Te predloge sporoči generalni direktor državam pogodbenicam najmanj šest mesecev pred njihovo obravnavo v skupščini.	Preden se nek predlog sprejme v skupini, ki odloča o sprejetju, se mora države članice z njim seznaniti, kar lahko stori generalni direktor.	direktor se pogovarja s šefom obravnavo obvestiti obravnavo o sestanku.	PersonX spremembe brez predhodnega obvestila storiti vse, kar je potrebno za spremembo.	neutral
Medsebojni položaj satelitov GPS določa t. i. faktor GDOP za geometrijsko razporeditev natančnosti in pomembno vpliva na natančnost določitve položaja sprejemnika.	V povezavi s tem se je uveljavil izraz Geometric Dilution of Precision (GDOP), ki pomeni, da je natančnost določitve položaja lahko odvisna od tega, katere od satelitov uporabimo pri določitvi položaja.	položaj gre narobe preverite GPS	natančnost ne ve, kam naj gre preverjanje GPS	entailment
Tiskane izdaje torej lahko razdelimo na dve glavni kategoriji, periodični in neperiodični tisk.	Tiskane izdaje delimo na pet osrednjih kategorij - ena izmed njih je neperiodični tisk.	osebek se pogosto spreminja bere revije, v katerih so objavljena prosta delovna mesta.	ena prebere šest knjig da ne bi nikoli več brali.	contradiction
Zaradi premočnega vetra so prireditelji tekmo prestavili na nedeljo, ko naj bi bili na sporedu dve tekmi, sobotna le z eno serijo.	Bilo je popolno brezvetrje, vse tekme so bile odigrane po predvidenem urniku in ni prišlo do nobenih prestavitev.	tekmi prekrši soboto na delo v nedeljo	PersonX je odličen dan tekme so dobro spale, saj je dan v pisarni potekal gladko.	contradiction
Družbeni pravobranilec Republike Slovenije in njegovi namestniki so za svoje delo odgovorni Državnemu zboru Republike Slovenije.	Družbeni pravobranilec RS lahko počne, kar želi, saj ni nikomur odgovoren za svoje delo, sploh pa se vanj ne sme vtikati DZ RS.	pravobranilec je šef v podjetju delo odgovorni za svoje zaposlene.	kar lahko pobegne kar lahko počne, kar želi	contradiction
b) kadar je pošiljka sestavljena iz določenega števila enakih izdelkov, ki se uvrščajo v enako tarifno številko Harmoniziranega sistema, je treba pri uporabi določb tega Protokola vsak izdelek obravnavati posebej.	Če je v paketu, ki ga je treba odposlati, več izdelkov, ki nosijo isto tarifno številko v harmoniziranem sistemu, morajo delavci po določenih pravilih vsak izdelek obdelati, kot da je čisto svoja samostojna enota.	pošiljka pošlje uporabi eno paket nekaj	delavci združi vse sestavine enako	entailment
Umaknil ji je lase, da jo je lahko poljubil na vrat.	Z njenimi lasmi ji je zakril vrat, da se je uprl želji po poljubu.	osebek potisne lase vrat da bi ji lahko pogledal v oči.	osebek diha lasmi za vrat da bi izrazili svojo ljubezen.	contradiction
V primerih, ki jih ni v tem zakonu, se vročitev opravi po določbah, ki veljajo za pravdni postopek.	Če se zgodi, da primeri niso zajeti v tem zakonu, poteka vročitev po določbah, ki so veljavne za pravdni postopek.	Kadrovska zakonodaja ureja za peticijo za zakone. med državami.	vročitev pride v napačne roke krši zakonodajo	entailment
Izraz v njenih očeh bi ga prestrašil, če bi ga razumel.	Če bi iz njenih oči znal razbrati, kaj se dogaja, bi mu to vzelo ves pogum.	Izraz se boji, da bi to škodovalo zaprejo oči.	to stori vse, kar je v njeni moči se iz situacije nekaj nauči.	entailment
Še sanja se mi ne, kako bi jo potolažil.	Dobro vem, kako jo bom spravil v boljšo voljo!	osebek Ne morem si kaj, da bi se spomnil.	osebek vem, kako se počuti.	contradiction
Vzorca si v vrsti izmenično sledita po vsej dolžini modela.	Vrste so neenakomerno razporejene po modelu, in sicer po celotni dolžini.	Vzorca maše vsak model	Vrste razvršča model v kategorije	contradiction
Pogledam navzgor in želodec se mi skrči v drobno kepico.	Dvignem pogled in v trebuhu mi začrviči.	osebek gre v restavracijo s hitro prehrano pogleda na meni.	osebek ima oči, ki so večje od njenega trebuha želodec se zgraža	entailment
Boljši učinek pri zasaditvah dosežemo, če rastline sadimo v skupine.	Vsaka rastlinska sadika mora biti za optimalno rast daleč od drugih.	osebek uživa več zelenjave doseže boljše zdravstvene rezultate.	sadika pomaga rastlini rast ohraniti rastlino, dokler ne zraste v drevo.	contradiction
Sladkokislo omako lahko ponudite pri različnih jedeh, npr. pri rižu, ki ste ga skuhali na pari, ali pri rezinah popečenega mesa.	Sladko-kisla omaka se prileže k raznolikim jedem, med drugim so to na pari kuhan riž ali narezano popečeno meso.	osebek skuha nekaj jajc pripraviti obrok ali prigrizek	to ima rada začinjeno hrano k večerji doda več pekoče omake.	entailment
Pravne osebe morajo voditi poslovne knjige ter izdelati letna poročila v skladu z določbami tega zakona in drugimi predpisi, kodeksom računovodskih načel ter slovenskimi računovodskimi standardi (v nadaljnjem besedilu: računovodski standardi).	Vsi registrirani kot pravne osebe se morajo držati tega zakona in določb, tudi zakonika po katerih se ravnajo vsi računovodje in v Sloveniji sprejetih standardov iz računovodstva (dalje računovodski standardi), po njih beležiti račune in mesečno poročati.	osebe stori vsako leto	računovodje živi vsak normalno	contradiction
Verjetno se še nikdar ni zgodilo, da ga kdo ne bi upošteval.	Žal je bil zelo neodločen človek brez kakršnekoli avtoritete.	kdo ne sme nikoli da tega najverjetneje ne boste storili.	osebek hudo izgubi da so bili leni in niso bili usposobljeni.	neutral
Ta je bočno drsel več metrov, nato ga je zaneslo s ceste v drevo.	Zaletel se je drevo nedaleč od ceste.	Ta zapelje s ceste trči v drevo.	drevo zapelje s ceste trči v drevo.	entailment
(2) Začasno hranjeno carinsko blago se lahko hrani v skladu s prejšnjim odstavkom le v prostorih in pod pogoji, ki jih odobri carinski organ.	(2) Začasno skladiščenje carinskega blaga ni omogočeno, saj to prepoveduje prejšnji odstavek, poleg tega ni primernih prostorov in pogojev za to dejavnost.	organ odgovori skladu oseba se po odgovoru verjetno počuti srečno ali jezno, odvisno od vprašanja in odgovora.	prostorov leži poleg tega ni prostora	contradiction
Dodamo nariban korenček in jabolka, hren in malo bučnega olja.	Čez narezano korenje polijemo pol litra bučnega olja ter za sladkobo čez posujemo hren.	PersonX peče hot doge dodajte malo majoneze in kečapa.	čez vzame čebulo lahko narežemo na koščke in iz njih pripravimo omako z drugimi sestavinami.	contradiction
Potem ko je plačala, sta skupaj odšla proti vhodu.	Plačala je za storitev, nato je vsak izmed njiju ubral svojo pot.	osebek je takoj zgrabila iti na blagajno in plačati.	vsak nekomu plača jim plačati za njihove storitve.	contradiction
Ne zdite se mi človek, ki bi kuhal zamero do nedolžnega človeka.	Mislim, da niste tak tip človeka, da bi bil kar tako zamerljiv.	človek nikoli ne pije velja za dolgočasno osebo.	osebek ne boš odlična oseba.	entailment
Tek mi prinaša notranje zadovoljstvo, pomirja me in mi daje elan ter novih moči, na kratko, postal je moj slog življenja.	Zelo sem zadovoljen, da je tek postal del mojega vsakdana, saj sem zaradi njega bolj miren, zagnan in poln elana.	zadovoljstvo vpliva na biti materialno pozitiven vpliv, ki lahko v življenje drugih ljudi prinese olajšanje in tolažbo.	tek živi srečno do konca svojih dni veseli me, da sem del x-ovega življenja.	entailment
Iz vašega dopisa ni razvidno, da bi izpolnjevali pogoje za pridobitev osebnega delovnega dovoljenja v skladu s 10. b členom Zakona o zaposlovanju in delu tujcev (Ur. l.	O tem, ali zadoščate pogojem, ki so potrebni za pridobitev osebnega delovnega dovoljenja skladno z ZZDT-1, iz predloženega dopisa ni mogoče sklepati.	osebek se vam zahvaljuje za pismo dopisa za poizvedovanje o mojem delovnem mestu	PersonX ne doseže želenega rezultata ni kvalificiran.	entailment
“Hej,“ je rekel, “kaj pa počneš?“	Ogovoril ga je in ga povprašal po njegovem početju.	osebek gleda predmet vprašajte, kaj počnejo.	osebek da pokličete osebek in ji sporočite, kaj je storila.	entailment
Plačal sem, jima namenil enega od svojih nasmeškov, ju pozdravil in odšel.	Pogostil sem ju in plačal, kar sta spila, nato pa sem ju zapustil.	osebek plača prijatelju enega nasmehi	osebek kupi pijačo da porabijo denar, ki jim ga je plačala osebek.	neutral
Tudi danes je treba ponoviti: slovenski oboroženi boj proti okupatorju in domačim kolaborantom, ki so ga vodili slovenski partizani, je bil zagotovilo preživetja slovenskega naroda.	Ni nam treba več ponavljati, da slovenski partizani niso odgovorni za obstoj Slovencev, saj se niso po robu postavili niti okupatorjem niti domačim okupatorjevim sodelovcem.	partizani se bori za življenje predmet uničiti sovražnika	PersonX se nikoli ni vrnil biti sam	contradiction
Uprava za notranje zadeve Novo mesto prosi občane, ki bi kar koli vedeli o pogrešanih mladoletnicah, da o tem obvestijo policiste na telefonsko številko 92 oz. 113.	Na Upravnih enotah po Sloveniji večkrat v sodelovanju s policijo objavljajo pozive in obvestila o pogrešanih osebah in navodila za sporočanje kakršnihkoli informacij, ki bi pomagale pri iskanju.	PersonX sprašuje mojo mamo nekaj vedeti	osebek pokliče policijo na pomoč policiji sporočiti, kje jih najde.	neutral
Med večletnimi širokolistnimi pleveli prevladujejo slak, osat, gabez in ščavje, najpogostejše večletne trave v koruzi pa so pirnica in divji sirek.	Najpogostejši večletni širokolistni plevel, ki ga srečamo pri nas, je slak, sledi mu gabez, kot tretji najpogostejši velja osat, četrto najpogostejše pa je ščavje.	slak ima običajno že več let	ščavje je najbolj všeč najpogostejši dobi pohvalo	neutral
Poljub je lahko noro dober, totalno opojen ali pa precej površen.	Pri lupčkanju nikoli ne uživamo preveč, ta dejavnost nas ne prevzame kaj dosti.	Poljub doživi napad panike počutiti se preobremenjeno ali zelo razburjeno.	dejavnost ni nikoli vzela ne tako zelo zainteresiran	contradiction
Avstralski motociklist Casey Stoner je bil najhitrejši na uvodnem prostem treningu na prizorišču dirke za veliko nagrado Španije v Jerezu. več	Casey Stoner, motociklist iz Avstralije, je v Jerezu na prvem treningu v naravi, kjer se bo odvijala dirka za špansko veliko nagrado, dosegel prvo mesto.	PersonX teče hitreje biti dober tekač	PersonX doseže vsakega ponosni, da so se udeležili dirke in osvojili prvo mesto.	entailment
HMELJIŠČE LAHKO VKLJUČUJE POVRŠINO HMELJIŠČA V PREMENI OZIROMA POVRŠINO HMELJIŠČA V OBDELAVI.	Nabiralci hmelja se ne morejo zediniti o sami vsebovanosti zemlje, na kateri se prideluje hmelj.	HMELJIŠČE posvoji mucko UŽIVA V MAČKONU UŽIVA V MAČKONU	hmelj nima pojma, kje začeti oceniti, kaj vedo.	neutral
Sladkorna bolezen tipa I, ki se imenuje tudi od insulina odvisna ali juvenilna (mladostniš ka) sladkorna bolezen, se lahko pojavi kadarkoli, navadno pa pred 30. letom starosti.	Pri sladkorni bolezni, ki je kronična bolezen in se uspešno zdravi z inzulinom, je značilna pojavnost pri različno starih posameznikih, ki lahko dobijo eno izmed treh razširjenih vrst.	"PersonX je sto let prezgodaj bolezen morda nikoli ne bo prišla v ""svoj"" čas in bo morda v slabšem položaju ves čas svojega življenja."	pojavnost ima zdravstvene težave sladkorna bolezen	neutral
PREVLADUJEJO ZLASTI ZNAKI, KI KAŽEJO NA POŠKODBE DIHALNIH ORGANOV IN PREBAVIL.	ZNAKI, KI KAŽEJO NA POŠKODBE DIHAL IN PREBAVIL, NISO V PREVLADI.	PersonX izkoplje umazanijo MORA PREMIKATI DLANI IN ROKE.	ZNAKI prejme boga MORDA NE BODO ŽELELI SLIŠATI, KAJ SE GOVORI.	contradiction
Najprej so se pojavile v evropskih zdraviliščih v 17. stoletju.	V zdraviliščih po Evropi pa vse od 17. stoletja do danes še niso nastopile.	osebek gre prvič k zobozdravniku poiščite bolnišnico	osebek se nikoli ni vrnila sprejeti v bolnišnico	contradiction
- spremljanje skladnosti ravnanja z nevarnim blagom v podjetju s predpisi, ki urejajo prevoz nevarnega blaga,	- spremljanje, ali se po predpisih ravna z blagom, ki ne more povzročati nevarnih učinkov,	osebek skrbi za trgovino varno	osebek dobi zdravilo nima škodljivega vpliva na zdravje	contradiction
Nato drsel po cesti čez oba vozna pasova na nasprotno stran, kjer je trčil v betonsko ograjo.	Zatem ga je prek obeh voznih pasov odneslo v betonsko ograjo.	osebek teče čez cesto da se pred prečkanjem ozrete v obe smeri.	osebek najde parkirno mesto prehoditi dve ulici do bara.	entailment
Živali, ki kot ličinke živijo v vodi in se razvijejo v odrasle živali, ki živijo večinoma na kopnem, imenujemo dvoživke.	Dvoživke so skupina živali, ki so v svojem razvoju vezane na vodo, kot odrasle živali pa večinoma preživijo na kopnem.	ličinke plava v vodi plavati kot riba	PersonX živi ob oceanu loviti ribe	entailment
Dobro zmešamo, nato rahlo primešamo v sneg stepene beljake.	Z mešanjem poskrbimo za enotno strukturo in nato dodamo beljakov sneg.	osebek meša osebek pridno študira in nato povabi sosede na sladoled. skupaj	PersonX združuje te ustvarite novo mešanico	entailment
